Traceback (most recent call last):
  File "C:\Users\shane\primordial\scripts\export_full.py", line 620, in <module>
    run_full_export(
  File "C:\Users\shane\primordial\scripts\export_full.py", line 313, in run_full_export
    frames_file.write(line + "\n")
OSError: [Errno 28] No space left on device
Exception ignored in: <_io.TextIOWrapper name='<stdout>' mode='w' encoding='cp1252'>
OSError: [Errno 28] No space left on device
=== SINGLE-PASS EXPORT: Part 3 ===
  Ticks: 300000, Seed: 271
  Frame interval: every 2 ticks
  Timeline sample: every 100 ticks
  Config: spread=8.0, sensors=6ips, actions=3, max_age=15000
  Part 3 features: muscle_speed=True, bone_reach=True, seasons=True, kin_recognition=True, attack_dmg=15.0
  Output: C:\Users\shane\primordial\..\shaneconner-site\data\full-frames-p3

  Tick    1000: pop=175, species=39, gen=  6, frames=   500, events=  51, 13 t/s
  Tick    2000: pop=462, species=106, gen= 13, frames=  1000, events= 215, 6 t/s
  Tick    3000: pop=399, species=139, gen= 21, frames=  1500, events= 455, 4 t/s
  Tick    4000: pop=304, species=140, gen= 27, frames=  2000, events= 658, 4 t/s
  Tick    5000: pop=229, species=106, gen= 34, frames=  2500, events= 805, 4 t/s
  Tick    6000: pop=183, species=86, gen= 43, frames=  3000, events= 903, 4 t/s
  Tick    7000: pop=217, species=87, gen= 52, frames=  3500, events=1008, 5 t/s
  Tick    8000: pop=240, species=103, gen= 62, frames=  4000, events=1132, 5 t/s
  Tick    9000: pop=225, species=99, gen= 72, frames=  4500, events=1240, 5 t/s
  Tick   10000: pop=219, species=90, gen= 76, frames=  5000, events=1364, 5 t/s
  Tick   11000: pop=234, species=95, gen= 68, frames=  5500, events=1457, 5 t/s
  Tick   12000: pop=285, species=104, gen= 77, frames=  6000, events=1600, 5 t/s
  Tick   13000: pop=250, species=98, gen= 76, frames=  6500, events=1726, 5 t/s
  Tick   14000: pop=313, species=108, gen= 81, frames=  7000, events=1848, 5 t/s
  Tick   15000: pop=333, species=123, gen= 85, frames=  7500, events=2027, 5 t/s
  Tick   16000: pop=284, species=106, gen= 68, frames=  8000, events=2157, 4 t/s
  Tick   17000: pop=235, species=90, gen= 71, frames=  8500, events=2279, 4 t/s
  Tick   18000: pop=209, species=81, gen= 72, frames=  9000, events=2378, 4 t/s
  Tick   19000: pop=187, species=72, gen= 73, frames=  9500, events=2459, 4 t/s
  Tick   20000: pop=203, species=76, gen= 75, frames= 10000, events=2523, 4 t/s
  Tick   21000: pop=226, species=80, gen= 68, frames= 10500, events=2624, 4 t/s
  Tick   22000: pop=236, species=93, gen= 74, frames= 11000, events=2738, 4 t/s
  Tick   23000: pop=282, species=99, gen= 84, frames= 11500, events=2854, 4 t/s
  Tick   24000: pop=265, species=112, gen= 79, frames= 12000, events=2984, 4 t/s
