=== SINGLE-PASS EXPORT: Part 3 ===
  Ticks: 300000, Seed: 271
  Frame interval: every 4 ticks
  Timeline sample: every 100 ticks
  Config: spread=8.0, sensors=6ips, actions=3, max_age=15000
  Part 3 features: muscle_speed=True, bone_reach=True, seasons=True, kin_recognition=True, attack_dmg=15.0
  Output: C:\Users\shane\primordial\..\shaneconner-site\data\full-frames-p3

  Tick    1000: pop=175, species=39, gen=  6, frames=   250, events=  51, 21 t/s
  Tick    2000: pop=462, species=106, gen= 13, frames=   500, events= 215, 10 t/s
  Tick    3000: pop=399, species=139, gen= 21, frames=   750, events= 455, 7 t/s
  Tick    4000: pop=304, species=140, gen= 27, frames=  1000, events= 658, 6 t/s
  Tick    5000: pop=229, species=106, gen= 34, frames=  1250, events= 805, 7 t/s
  Tick    6000: pop=183, species=86, gen= 43, frames=  1500, events= 903, 7 t/s
  Tick    7000: pop=217, species=87, gen= 52, frames=  1750, events=1008, 7 t/s
  Tick    8000: pop=240, species=103, gen= 62, frames=  2000, events=1132, 8 t/s
  Tick    9000: pop=225, species=99, gen= 72, frames=  2250, events=1240, 8 t/s
  Tick   10000: pop=219, species=90, gen= 76, frames=  2500, events=1364, 8 t/s
  Tick   11000: pop=234, species=95, gen= 68, frames=  2750, events=1457, 8 t/s
  Tick   12000: pop=285, species=104, gen= 77, frames=  3000, events=1600, 8 t/s
  Tick   13000: pop=250, species=98, gen= 76, frames=  3250, events=1726, 8 t/s
  Tick   14000: pop=313, species=108, gen= 81, frames=  3500, events=1848, 7 t/s
  Tick   15000: pop=333, species=123, gen= 85, frames=  3750, events=2027, 7 t/s
  Tick   16000: pop=284, species=106, gen= 68, frames=  4000, events=2157, 7 t/s
  Tick   17000: pop=235, species=90, gen= 71, frames=  4250, events=2279, 7 t/s
  Tick   18000: pop=209, species=81, gen= 72, frames=  4500, events=2378, 6 t/s
  Tick   19000: pop=187, species=72, gen= 73, frames=  4750, events=2459, 6 t/s
  Tick   20000: pop=203, species=76, gen= 75, frames=  5000, events=2523, 6 t/s
  Tick   21000: pop=226, species=80, gen= 68, frames=  5250, events=2624, 6 t/s
  Tick   22000: pop=236, species=93, gen= 74, frames=  5500, events=2738, 6 t/s
  Tick   23000: pop=282, species=99, gen= 84, frames=  5750, events=2854, 6 t/s
  Tick   24000: pop=265, species=112, gen= 79, frames=  6000, events=2984, 6 t/s
  Tick   25000: pop=217, species=87, gen= 81, frames=  6250, events=3075, 6 t/s
  Tick   26000: pop=176, species=76, gen= 79, frames=  6500, events=3147, 6 t/s
  Tick   27000: pop=158, species=66, gen= 82, frames=  6750, events=3204, 6 t/s
  Tick   28000: pop=155, species=63, gen= 84, frames=  7000, events=3246, 6 t/s
  Tick   29000: pop=117, species=50, gen= 90, frames=  7250, events=3299, 6 t/s
  Tick   30000: pop=154, species=59, gen= 94, frames=  7500, events=3351, 6 t/s
  Tick   31000: pop=218, species=78, gen=100, frames=  7750, events=3428, 6 t/s
  Tick   32000: pop=269, species=98, gen=102, frames=  8000, events=3552, 6 t/s
  Tick   33000: pop=238, species=87, gen=105, frames=  8250, events=3674, 6 t/s
  Tick   34000: pop=207, species=74, gen=104, frames=  8500, events=3767, 6 t/s
  Tick   35000: pop=181, species=80, gen=104, frames=  8750, events=3858, 6 t/s
  Tick   36000: pop=146, species=56, gen=104, frames=  9000, events=3919, 6 t/s
  Tick   37000: pop=116, species=48, gen=104, frames=  9250, events=3966, 6 t/s
  Tick   38000: pop=111, species=44, gen=104, frames=  9500, events=4002, 6 t/s
  Tick   39000: pop=119, species=45, gen=100, frames=  9750, events=4040, 6 t/s
  Tick   40000: pop=102, species=41, gen=106, frames= 10000, events=4077, 6 t/s
  Tick   41000: pop=118, species=42, gen=107, frames= 10250, events=4124, 6 t/s
  Tick   42000: pop=142, species=50, gen=106, frames= 10500, events=4194, 6 t/s
  Tick   43000: pop=150, species=55, gen=108, frames= 10750, events=4269, 6 t/s
  Tick   44000: pop=147, species=51, gen=110, frames= 11000, events=4342, 6 t/s
  Tick   45000: pop=146, species=50, gen=112, frames= 11250, events=4410, 6 t/s
  Tick   46000: pop=111, species=40, gen=112, frames= 11500, events=4469, 6 t/s
  Tick   47000: pop=100, species=35, gen=115, frames= 11750, events=4514, 6 t/s
  Tick   48000: pop= 98, species=32, gen=116, frames= 12000, events=4546, 6 t/s
  Tick   49000: pop=100, species=25, gen=116, frames= 12250, events=4579, 7 t/s
  Tick   50000: pop=114, species=29, gen=118, frames= 12500, events=4628, 7 t/s
  Tick   51000: pop=125, species=34, gen=121, frames= 12750, events=4673, 7 t/s
  Tick   52000: pop=153, species=36, gen=122, frames= 13000, events=4736, 7 t/s
  Tick   53000: pop=162, species=34, gen=128, frames= 13250, events=4799, 7 t/s
  Tick   54000: pop=153, species=25, gen=112, frames= 13500, events=4847, 7 t/s
  Tick   55000: pop=137, species=26, gen=112, frames= 13750, events=4883, 7 t/s
  Tick   56000: pop=133, species=30, gen=111, frames= 14000, events=4942, 7 t/s
  Tick   57000: pop=107, species=26, gen=114, frames= 14250, events=4990, 7 t/s
  Tick   58000: pop=113, species=22, gen=113, frames= 14500, events=5020, 7 t/s
  Tick   59000: pop=103, species=23, gen=112, frames= 14750, events=5062, 7 t/s
  Tick   60000: pop=122, species=28, gen=114, frames= 15000, events=5108, 7 t/s
  Tick   61000: pop=133, species=27, gen=116, frames= 15250, events=5156, 7 t/s
  Tick   62000: pop=138, species=26, gen=117, frames= 15500, events=5198, 7 t/s
  Tick   63000: pop=147, species=36, gen=119, frames= 15750, events=5261, 7 t/s
  Tick   64000: pop=158, species=31, gen=119, frames= 16000, events=5321, 7 t/s
  Tick   65000: pop=116, species=16, gen=121, frames= 16250, events=5372, 7 t/s
  Tick   66000: pop=122, species=21, gen=123, frames= 16500, events=5406, 7 t/s
  Tick   67000: pop=128, species=25, gen=126, frames= 16750, events=5463, 7 t/s
  Tick   68000: pop=120, species=25, gen=126, frames= 17000, events=5503, 7 t/s
